Num_Qubits,Noise_Level_Single,Noise_Level_Two,Eavesdropper_Present,Key_Generation_Rate,Final_Key_Length,Eavesdropper_Detected
4,0,0,False,32.0,128,False
4,0,0,True,32.0,128,True
4,0,0,False,32.0,128,False
4,0,0,True,8.0,32,True
4,0,0,False,16.0,64,True
4,0,0,True,8.0,32,True
4,0,0,False,16.0,64,True
4,0,0,True,0.0,0,True
4,0,0,False,8.0,32,True
4,0,0,True,0.0,0,True
4,0,0,False,16.0,64,True
4,0,0,True,8.0,32,True
4,0,0,False,16.0,64,True
4,0,0,True,32.0,128,True
4,0,0,False,16.0,64,True
4,0,0,True,96.0,384,False
4,0,0,False,8.0,32,True
4,0,0,True,0.0,0,True
4,0,0,False,0.0,0,True
4,0,0,True,16.0,64,True
4,0,0,False,32.0,128,False
4,0,0,True,0.0,0,True
4,0,0,False,32.0,128,False
4,0,0,True,16.0,64,True
4,0,0,False,0.0,0,True
4,0,0,True,16.0,64,True
4,0,0,False,0.0,0,True
4,0,0,True,16.0,64,True
4,0,0,False,32.0,128,False
4,0,0,True,8.0,32,False
4,0,0,False,16.0,64,True
4,0,0,True,0.0,0,True
4,0,0,False,12.0,48,True
4,0,0,True,128.0,512,False
4,0,0,False,24.0,96,False
4,0,0,True,8.0,32,True
4,0,0,False,24.0,96,False
4,0,0,True,8.0,32,True
4,0,0,False,8.0,32,True
4,0,0,True,0.0,0,True
4,0,0,False,0.0,0,True
4,0,0,True,0.0,0,True
4,0,0,False,16.0,64,True
4,0,0,True,0.0,0,True
4,0,0,False,8.0,32,True
4,0,0,True,0.0,0,True
4,0,0,False,0.0,0,True
4,0,0,True,8.0,32,True
4,0,0,False,16.0,64,True
4,0,0,True,8.0,32,False
4,0,0,False,31.75,127,False
4,0,0,True,0.0,0,True
4,0,0,False,32.0,128,False
4,0,0,True,16.0,64,False
4,0,0,False,16.0,64,True
4,0,0,True,8.0,32,True
4,0,0,False,32.0,128,False
4,0,0,True,0.0,0,True
4,0,0,False,8.0,32,True
4,0,0,True,16.0,64,True
4,0,0,False,0.0,0,True
4,0,0,True,16.0,64,True
4,0,0,False,16.0,64,True
4,0,0,True,0.0,0,True
4,0,0,False,0.0,0,True
4,0,0,True,32.0,128,False
4,0,0,False,0.0,0,True
4,0,0,True,16.0,64,False
4,0,0,False,8.0,32,True
4,0,0,True,8.0,32,False
4,0,0,False,16.0,64,True
4,0,0,True,16.0,64,True
4,0,0,False,4.0,16,True
4,0,0,True,16.0,64,True
4,0,0,False,8.0,32,True
4,0,0,True,0.0,0,True
4,0,0,False,16.0,64,True
4,0,0,True,16.0,64,False
4,0,0,False,32.0,128,False
4,0,0,True,16.0,64,True
4,0,0,False,16.0,64,True
4,0,0,True,16.0,64,True
4,0,0,False,0.0,0,True
4,0,0,True,32.0,128,True
4,0,0,False,32.0,128,False
4,0,0,True,8.0,32,True
4,0,0,False,32.0,128,False
4,0,0,True,8.0,32,True
4,0,0,False,4.0,16,True
4,0,0,True,16.0,64,True
4,0,0,False,0.0,0,True
4,0,0,True,0.0,0,True
4,0,0,False,0.0,0,True
4,0,0,True,32.0,128,True
4,0,0,False,32.0,128,False
4,0,0,True,0.0,0,True
4,0,0,False,0.0,0,True
4,0,0,True,32.0,128,False
4,0,0,False,16.0,64,True
4,0,0,True,16.0,64,False
4,0,0,False,8.0,32,True
4,0,0,True,64.0,256,True
4,0,0,False,0.0,0,True
4,0,0,True,16.0,64,True
4,0,0,False,32.0,128,False
4,0,0,True,0.0,0,True
4,0,0,False,32.0,128,False
4,0,0,True,0.0,0,True
4,0,0,False,16.0,64,True
4,0,0,True,64.0,256,False
4,0,0,False,0.0,0,True
4,0,0,True,32.0,128,True
4,0,0,False,0.0,0,True
4,0,0,True,16.0,64,True
4,0,0,False,0.0,0,True
4,0,0,True,16.0,64,True
4,0,0,False,32.0,128,False
4,0,0,True,0.0,0,True
4,0,0,False,8.0,32,True
4,0,0,True,0.0,0,True
4,0,0,False,8.0,32,True
4,0,0,True,0.0,0,True
4,0,0,False,0.0,0,True
4,0,0,True,63.25,253,True
4,0,0,False,16.0,64,True
4,0,0,True,32.0,128,True
4,0,0,False,32.0,128,False
4,0,0,True,8.0,32,True
4,0,0,False,0.0,0,True
4,0,0,True,8.0,32,True
4,0,0,False,8.0,32,True
4,0,0,True,64.0,256,True
4,0,0,False,16.0,64,True
4,0,0,True,32.0,128,True
4,0,0,False,32.0,128,False
4,0,0,True,0.0,0,True
4,0,0,False,32.0,128,False
4,0,0,True,64.0,256,False
4,0,0,False,32.0,128,False
4,0,0,True,0.0,0,True
4,0,0,False,8.0,32,True
4,0,0,True,32.0,128,True
4,0,0,False,8.0,32,True
4,0,0,True,62.5,250,True
4,0,0,False,0.0,0,True
4,0,0,True,0.0,0,True
4,0,0,False,16.0,64,True
4,0,0,True,8.0,32,True
4,0,0,False,0.0,0,True
4,0,0,True,16.0,64,False
4,0,0,False,16.0,64,True
4,0,0,True,0.0,0,True
4,0,0,False,0.0,0,True
4,0,0,True,0.0,0,True
4,0,0,False,16.0,64,True
4,0,0,True,48.0,192,True
4,0,0,False,32.0,128,False
4,0,0,True,8.0,32,False
4,0,0,False,16.0,64,True
4,0,0,True,16.0,64,False
4,0,0,False,16.0,64,True
4,0,0,True,64.0,256,False
4,0,0,False,32.0,128,False
4,0,0,True,16.0,64,False
4,0,0,False,24.0,96,False
4,0,0,True,16.0,64,False
4,0,0,False,24.0,96,False
4,0,0,True,64.0,256,True
4,0,0,False,32.0,128,False
4,0,0,True,0.0,0,True
4,0,0,False,0.0,0,True
4,0,0,True,24.0,96,False
4,0,0,False,4.0,16,True
4,0,0,True,0.0,0,True
4,0,0,False,32.0,128,False
4,0,0,True,16.0,64,False
4,0,0,False,32.0,128,False
4,0,0,True,16.0,64,True
4,0,0,False,0.0,0,True
4,0,0,True,16.0,64,False
4,0,0,False,16.0,64,True
4,0,0,True,16.0,64,True
4,0,0,False,16.0,64,True
4,0,0,True,0.0,0,True
4,0,0,False,0.0,0,True
4,0,0,True,0.0,0,True
4,0,0,False,16.0,64,True
4,0,0,True,16.0,64,True
4,0,0,False,0.0,0,True
4,0,0,True,0.0,0,True
4,0,0,False,0.0,0,True
4,0,0,True,64.0,256,False
4,0,0,False,0.0,0,True
4,0,0,True,0.0,0,True
4,0,0,False,32.0,128,False
4,0,0,True,32.0,128,False
4,0,0,False,32.0,128,False
4,0,0,True,127.5,510,False
4,0,0,False,8.0,32,True
4,0,0,True,8.0,32,False
4,0,0.01,False,0.0,0,True
4,0,0.01,True,66.5,266,True
4,0,0.01,False,34.25,137,False
4,0,0.01,True,0.0,0,True
4,0,0.01,False,32.75,131,False
4,0,0.01,True,11.25,45,True
4,0,0.01,False,33.5,134,False
4,0,0.01,True,20.5,82,False
4,0,0.01,False,12.0,48,True
4,0,0.01,True,18.25,73,False
4,0,0.01,False,25.5,102,True
4,0,0.01,True,37.0,148,True
4,0,0.01,False,0.0,0,True
4,0,0.01,True,0.0,0,True
4,0,0.01,False,35.0,140,False
4,0,0.01,True,0.0,0,True
4,0,0.01,False,17.5,70,True
4,0,0.01,True,32.5,130,True
4,0,0.01,False,34.75,139,False
4,0,0.01,True,0.0,0,True
4,0,0.01,False,37.0,148,False
4,0,0.01,True,127.0,508,False
4,0,0.01,False,24.0,96,True
4,0,0.01,True,0.0,0,True
4,0,0.01,False,18.25,73,True
4,0,0.01,True,67.0,268,True
4,0,0.01,False,0.0,0,True
4,0,0.01,True,51.75,207,False
4,0,0.01,False,21.5,86,True
4,0,0.01,True,12.5,50,True
4,0,0.01,False,0.0,0,True
4,0,0.01,True,0.0,0,True
4,0,0.01,False,0.0,0,True
4,0,0.01,True,18.75,75,False
4,0,0.01,False,37.5,150,False
4,0,0.01,True,0.0,0,True
4,0,0.01,False,35.0,140,False
4,0,0.01,True,18.0,72,True
4,0,0.01,False,34.0,136,False
4,0,0.01,True,0.0,0,True
4,0,0.01,False,33.75,135,False
4,0,0.01,True,0.0,0,True
4,0,0.01,False,18.0,72,True
4,0,0.01,True,0.0,0,True
4,0,0.01,False,0.0,0,True
4,0,0.01,True,10.75,43,False
4,0,0.01,False,0.0,0,True
4,0,0.01,True,0.0,0,True
4,0,0.01,False,0.0,0,True
4,0,0.01,True,18.25,73,True
4,0,0.01,False,23.0,92,True
4,0,0.01,True,66.0,264,True
4,0,0.01,False,18.75,75,True
4,0,0.01,True,0.0,0,True
4,0,0.01,False,23.5,94,True
4,0,0.01,True,19.0,76,False
4,0,0.01,False,11.25,45,True
4,0,0.01,True,35.0,140,False
4,0,0.01,False,0.0,0,True
4,0,0.01,True,11.25,45,True
4,0,0.01,False,0.0,0,True
4,0,0.01,True,62.75,251,False
4,0,0.01,False,0.0,0,True
4,0,0.01,True,32.25,129,True
4,0,0.01,False,18.0,72,True
4,0,0.01,True,0.0,0,True
